0,1,2,3,4,5
(0.330395847046189+0j),(0.7613589044086635+0j),(-10.194513007032871+0j),(-0.2358364639896839-0.05905800750195096j),(0.12061105734243283+0.23810073493413425j),(-0.05318332523590996+0.01191950461246527j)
(0.31124347587395457+0j),(0.7613589044086635+0j),(-10.180146628028155+0j),(-0.05806663207997381-0.06059407387054765j),(-0.16972422641791174+0.04898532821208344j),(0.0964269800882942-0.30051989767167897j)
(0.3208245568308979+0j),(0.7805112755808978+0j),(-10.199297903221845+0j),(-0.029862119770880657-0.05760399196709039j),(-0.021999497491972386-0.005607095435426229j),(-0.1477848343185837-0.06112168480480662j)
(0.2873054230614565+0j),(0.7613589044086635+0j),(-10.137046321970224+0j),(-0.1661747608465308+0.11969099066022257j),(-0.2806301639926917+0.19532676098668436j),(0.21445334428742058+0.2750763221112891j)
(0.2633575795073062+0j),(0.7900825292635708+0j),(-10.165779079979657+0j),(0.03196878198040082+0.16973256642270076j),(-0.14506128922549222-0.12551812762150596j),(-0.08093455137845673+0.2147361409157038j)
(0.3064578125+0j),(0.7613589044086635+0j),(-10.137046321970224+0j),(-0.17080677937049765+0.044637466064246234j),(0.1291369550190712+0.10137534122322917j),(-0.11483749130418452-0.08587465460809707j)
(0.3016721673923544+0j),(0.7996636467531323+0j),(-10.165779079979657+0j),(-0.028760964189949667-0.08976296449294696j),(-0.15441738710583242+0.12871566246739435j),(-0.009828171037534972-0.012183559439323588j)
(0.3064578125+0j),(0.7565634137604386+0j),(-10.1753605627954+0j),(-0.20628819565352868-0.013871724083238751j),(-0.053521147590884444+0.010318491584475176j),(0.022750008742876915-0.023714255288934893j)
(0.28251977795381095+0j),(0.7613589044086635+0j),(-10.103526329684257+0j),(0.2065479763208251-0.005338983894618482j),(0.09911983225244048+0.27995266531514723j),(0.033339102859404335-0.049167600444434356j)
(0.31124347587395457+0j),(0.742206533236429+0j),(-10.117893877732753+0j),(0.049144801036578756-0.029052836212516114j),(-0.10755499865134266-0.0917519418477511j),(-0.07104892523115502-0.08840704990281711j)
(0.3016721673923544+0j),(0.8092447642426938+0j),(-10.180146628028155+0j),(-0.019981197399124268+0.10653279118806938j),(-0.07365562854295937+0.0006294365056366269j),(0.036689089477974335+0.2944616554549606j)
(0.2873054230614565+0j),(0.7900825292635708+0j),(-10.137046321970224+0j),(0.19088171720061678+0.16750334238911618j),(0.055845608290725934-0.05075868230613112j),(-0.18900719021723056-0.11889405433354128j)
(0.3016721673923544+0j),(0.7565634137604386+0j),(-10.141841739553213+0j),(-0.04457151605744328+0.08200653657860896j),(0.007072459421800348+0.05497400908926764j),(0.15050778416736854+0.11750157696996144j)
(0.3160388934569433+0j),(0.7948780199117959+0j),(-10.160994183790683+0j),(-0.0100948161077348+0.06068746234296535j),(0.19694589856189337+0.004891752603830235j),(-0.0960933154660939-0.2651707470934843j)
(0.3256101836722344+0j),(0.7278397889055311+0j),(-10.127474191504716+0j),(0.014431966780919486-0.09050116004919234j),(-0.1829686865274428+0.1351925886714077j),(-0.33318653716249447-0.3149823096259805j)
(0.3160388934569433+0j),(0.7709301580913365+0j),(-10.17056514521241+0j),(0.03953001349099955+0.11586828096894397j),(0.03255645151483999+0.0111711555978945j),(-0.02316777388261837+0.14961116922698103j)
(0.3016721673923544+0j),(0.7613589044086635+0j),(-10.180146628028155+0j),(-0.09136903793486958-0.010787994599717632j),(0.05559543167686959+0.01565319002799992j),(-0.21733939523265544-0.01743274161499997j)
(0.3160388934569433+0j),(0.7900825292635708+0j),(-10.160994183790683+0j),(-0.12546479721058082+0.03635900905741768j),(-0.06059464072705878-0.07803352827934906j),(0.23274088283782302+0.007014683373840924j)
(0.3064578125+0j),(0.7565634137604386+0j),(-10.189717589449883+0j),(-0.1838431456102214-0.06996619457746944j),(0.09513189702827007+0.00971683809505175j),(-0.24050661014966668+0.0629130594687588j)
(0.3160388934569433+0j),(0.7709301580913365+0j),(-10.160994183790683+0j),(-0.10449712714636325+0.026423129141773694j),(0.015690897146315358-0.0203937096657949j),(-0.3285339512172909-0.02785903800143963j)
(0.33519130116179585+0j),(0.7805112755808978+0j),(-10.194513007032871+0j),(-0.13591069613132503-0.08151399065682033j),(-0.1265894710747664-0.13088905420789998j),(-0.0998120581391233+0.07695035792189486j)
(0.3064578125+0j),(0.7613589044086635+0j),(-10.180146628028155+0j),(0.06999891978819589+0.060474616534490544j),(0.20223326773229836-0.01839825630106051j),(0.1291195871990236-0.15285860480449998j)
(0.2968767132767476+0j),(0.7565634137604386+0j),(-10.204083968454599+0j),(-0.01608651165120835+0.1318015193071873j),(-0.12028046007799495+0.16479102055069528j),(0.2775886586423171+0.19450276779110176j)
(0.3160388934569433+0j),(0.7613589044086635+0j),(-10.15141270097494+0j),(-0.16492395666264872-0.06940210117273532j),(0.010004270639776013+0.12869389301351164j),(0.10612972395252462+0.20981381866395132j)
(0.3160388934569433+0j),(0.7900825292635708+0j),(-10.184931524217129+0j),(0.004756327681621862-0.02876287915306286j),(-0.07181399404069881+0.01916223497911218j),(-0.1340659406186869+0.20108488240254552j)
(0.31124347587395457+0j),(0.7805112755808978+0j),(-10.208879386037587+0j),(-0.13105118309934005-0.005037589847373014j),(-0.14447282321139493+0.049672795135884296j),(0.34322298587145417+0.0817083319780334j)
(0.2968767132767476+0j),(0.7661445312499999+0j),(-10.208879386037587+0j),(0.17348944636426605+0.1691005030088234j),(-0.04177586494995841+0.2274931764940138j),(-0.21658261187699623-0.11418862963314247j)
(0.3016721673923544+0j),(0.7805112755808978+0j),(-10.15141270097494+0j),(-0.11570543687856061-0.008138124046351114j),(0.05239128584055627-0.10788633812777015j),(0.1645420648462561+0.49672165598286355j)
(0.3208245568308979+0j),(0.7709301580913365+0j),(-10.15141270097494+0j),(-0.0391024350743511-0.056072401163363816j),(0.13356611733139026-0.10432535193046444j),(-0.13038145777017096+0.03968777089579589j)
(0.3064578125+0j),(0.7613589044086635+0j),(-10.17056514521241+0j),(0.07057959362439263+0.02423265430891125j),(0.04767548029334903+0.0755884297823346j),(0.18595774543651844-0.020877670375048396j)
(0.2920910681691021+0j),(0.7805112755808978+0j),(-10.127474191504716+0j),(-0.03934226643874707-0.04605202068818376j),(-0.0049699669561208415-0.03788680538975142j),(0.0047652772322539505+0.045079927769936745j)
